transaction_id,iban,amount,currency,transaction_date,branch_id,channel,schema_version
ATM-041,DE89370400440532013000,1100.00,PEN,2026-08-01T10:00:00Z,LIM-003,ATM,1.0
ATM-042,FR1420041010050500013M02606,1125.00,USD,2026-08-01T10:01:00Z,LIM-003,ATM,1.0
ATM-043,GB82WEST12345698765432,1150.00,PEN,2026-08-01T10:02:00Z,LIM-003,ATM,1.0
ATM-044,DE89370400440532013000,1175.00,USD,2026-08-01T10:03:00Z,LIM-003,ATM,1.0
ATM-045,FR1420041010050500013M02606,1200.00,PEN,2026-08-01T10:04:00Z,LIM-003,ATM,1.0
ATM-046,GB82WEST12345698765432,1225.00,USD,2026-08-01T10:05:00Z,LIM-003,ATM,1.0
ATM-047,DE89370400440532013000,1250.00,PEN,2026-08-01T10:06:00Z,LIM-003,ATM,1.0
ATM-048,FR1420041010050500013M02606,1275.00,USD,2026-08-01T10:07:00Z,LIM-003,ATM,1.0
ATM-049,GB82WEST12345698765432,1300.00,PEN,2026-08-01T10:08:00Z,LIM-003,ATM,1.0
ATM-050,DE89370400440532013000,1325.00,USD,2026-08-01T10:09:00Z,LIM-003,ATM,1.0
ATM-051,FR1420041010050500013M02606,1350.00,PEN,2026-08-01T10:10:00Z,LIM-003,ATM,1.0
ATM-052,GB82WEST12345698765432,1375.00,USD,2026-08-01T10:11:00Z,LIM-003,ATM,1.0
ATM-053,DE89370400440532013000,1400.00,PEN,2026-08-01T10:12:00Z,LIM-003,ATM,1.0
ATM-054,FR1420041010050500013M02606,1425.00,USD,2026-08-01T10:13:00Z,LIM-003,ATM,1.0
ATM-055,GB82WEST12345698765432,1450.00,PEN,2026-08-01T10:14:00Z,LIM-003,ATM,1.0
ATM-056,DE89370400440532013000,1475.00,USD,2026-08-01T10:15:00Z,LIM-003,ATM,1.0
ATM-057,FR1420041010050500013M02606,1500.00,PEN,2026-08-01T10:16:00Z,LIM-003,ATM,1.0
ATM-058,GB82WEST12345698765432,1525.00,USD,2026-08-01T10:17:00Z,LIM-003,ATM,1.0
ATM-059,DE89370400440532013000,1550.00,PEN,2026-08-01T10:18:00Z,LIM-003,ATM,1.0
ATM-060,FR1420041010050500013M02606,1575.00,USD,2026-08-01T10:19:00Z,LIM-003,ATM,1.0

