transaction_id,iban,amount,currency,transaction_date,branch_id,channel,schema_version
ATM-021,FR1420041010050500013M02606,600.00,PEN,2026-08-01T09:00:00Z,LIM-002,ATM,1.0
ATM-022,GB82WEST12345698765432,625.00,USD,2026-08-01T09:01:00Z,LIM-002,ATM,1.0
ATM-023,DE89370400440532013000,650.00,PEN,2026-08-01T09:02:00Z,LIM-002,ATM,1.0
ATM-024,FR1420041010050500013M02606,675.00,USD,2026-08-01T09:03:00Z,LIM-002,ATM,1.0
ATM-025,GB82WEST12345698765432,700.00,PEN,2026-08-01T09:04:00Z,LIM-002,ATM,1.0
ATM-026,DE89370400440532013000,725.00,USD,2026-08-01T09:05:00Z,LIM-002,ATM,1.0
ATM-027,FR1420041010050500013M02606,750.00,PEN,2026-08-01T09:06:00Z,LIM-002,ATM,1.0
ATM-028,GB82WEST12345698765432,775.00,USD,2026-08-01T09:07:00Z,LIM-002,ATM,1.0
ATM-029,DE89370400440532013000,800.00,PEN,2026-08-01T09:08:00Z,LIM-002,ATM,1.0
ATM-030,FR1420041010050500013M02606,825.00,USD,2026-08-01T09:09:00Z,LIM-002,ATM,1.0
ATM-031,GB82WEST12345698765432,850.00,PEN,2026-08-01T09:10:00Z,LIM-002,ATM,1.0
ATM-032,DE89370400440532013000,875.00,USD,2026-08-01T09:11:00Z,LIM-002,ATM,1.0
ATM-033,FR1420041010050500013M02606,900.00,PEN,2026-08-01T09:12:00Z,LIM-002,ATM,1.0
ATM-034,GB82WEST12345698765432,925.00,USD,2026-08-01T09:13:00Z,LIM-002,ATM,1.0
ATM-035,DE89370400440532013000,950.00,PEN,2026-08-01T09:14:00Z,LIM-002,ATM,1.0
ATM-036,FR1420041010050500013M02606,975.00,USD,2026-08-01T09:15:00Z,LIM-002,ATM,1.0
ATM-037,GB82WEST12345698765432,1000.00,PEN,2026-08-01T09:16:00Z,LIM-002,ATM,1.0
ATM-038,DE89370400440532013000,1025.00,USD,2026-08-01T09:17:00Z,LIM-002,ATM,1.0
ATM-039,FR1420041010050500013M02606,1050.00,PEN,2026-08-01T09:18:00Z,LIM-002,ATM,1.0
ATM-040,GB82WEST12345698765432,1075.00,USD,2026-08-01T09:19:00Z,LIM-002,ATM,1.0

